version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;421;421 Weende-Nord (2);09.06.2024 17:12:13 210;817;169;0;986;444;0;11;433;136;297
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;422;422 Plesseweg;09.06.2024 17:12:13 210;531;153;0;684;343;1;4;339;207;132
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;423;423 Stumpfe Eiche;09.06.2024 17:12:13 210;475;119;0;594;297;0;1;296;114;182
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;424;424 Alt-Weende (3);09.06.2024 17:12:13 210;781;196;0;977;398;2;7;391;243;148
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;425;425 Ernst-Fahlbusch-Straße (3);09.06.2024 17:12:13 210;480;108;0;588;272;0;1;271;136;135
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;501;501 Neues Rathaus (1);09.06.2024 17:12:13 210;791;240;0;1031;437;0;11;426;235;191
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;502;502 Neues Rathaus (2);09.06.2024 17:12:13 210;809;214;0;1023;542;1;8;534;289;245
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;503;503 Bunsenstraße;09.06.2024 17:12:13 210;532;118;0;650;348;1;10;338;193;145
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;504;504 Jahnstadion;09.06.2024 17:12:13 210;978;259;0;1237;546;0;9;537;299;238
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;505;505 Gartetalbahnhof;09.06.2024 17:12:13 210;1066;178;0;1244;352;0;5;347;231;116
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;506;506 Landeskrankenhaus;09.06.2024 17:12:13 210;597;61;0;658;229;0;3;226;81;145
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;507;507 Leineberg (1);09.06.2024 17:12:13 210;712;42;0;754;305;0;12;293;137;156
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;508;508 Leineberg (2);09.06.2024 17:12:13 210;687;70;0;757;382;0;10;372;145;227
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;509;509 Bahnhof-West;09.06.2024 17:12:13 210;693;98;0;791;246;1;8;238;140;98
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;510;510 Bahnhof-Ost;09.06.2024 17:12:13 210;692;132;0;824;287;0;8;279;173;106
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;511;511 Goethe-Allee;09.06.2024 17:12:13 210;807;194;0;1001;435;0;1;434;316;118
0.3;03159016;09.06.2024;„Radentscheid II - Radverkehrsanlagen in der Kernstadt“;512;512 Nikolaistraße (1);09.06.2024 17:12:13 210;694;166;0;860;389;1;3;386;282;104
