version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B1;C;D;D1;D2
0.2;06414000;01.11.2020;Citybahn;2522;2522 Grundschule Nordenstadt;;903;135;0;1038;276;0;0;276;85;191
0.2;06414000;01.11.2020;Citybahn;2523;2523 Grundschule Nordenstadt;;603;232;0;835;208;2;0;208;58;150
0.2;06414000;01.11.2020;Citybahn;2611;2611 Karl-Gärtner-Schule;;794;143;0;937;264;0;1;263;78;185
0.2;06414000;01.11.2020;Citybahn;2612;2612 Karl-Gärtner-Schule;;676;68;0;744;203;0;1;202;61;141
0.2;06414000;01.11.2020;Citybahn;2621;2621 Bürgerhaus Delkenheim;;1091;85;0;1176;206;1;1;205;67;138
0.2;06414000;01.11.2020;Citybahn;2622;2622 Bürgerhaus Delkenheim;;644;174;0;818;252;0;0;252;111;141
0.2;06414000;01.11.2020;Citybahn;2711;2711 Erich-Kästner-Schule;;1369;339;0;1708;475;2;3;472;164;308
0.2;06414000;01.11.2020;Citybahn;2712;2712 Erich-Kästner-Schule;;1068;272;0;1340;430;0;1;429;179;250
0.2;06414000;01.11.2020;Citybahn;2713;2713 Erich-Kästner-Schule;;821;157;0;978;245;0;0;245;65;180
0.2;06414000;01.11.2020;Citybahn;2721;2721 Erich-Kästner-Schule;;1071;210;0;1281;338;1;1;337;91;246
0.2;06414000;01.11.2020;Citybahn;2731;2731 Joseph-von-Eichendorff-Schule;;765;148;0;913;307;0;0;307;75;232
0.2;06414000;01.11.2020;Citybahn;2732;2732 Joseph-von-Eichendorff-Schule;;686;117;0;803;215;2;1;214;45;169
0.2;06414000;01.11.2020;Citybahn;2733;2733 Joseph-von-Eichendorff-Schule;;824;222;0;1046;314;1;1;313;90;223
0.2;06414000;01.11.2020;Citybahn;2811;2811 Alfred-Delp-Schule;;744;263;0;1007;373;3;0;373;101;272
0.2;06414000;01.11.2020;Citybahn;2812;2812 Alfred-Delp-Schule;;657;259;0;916;267;2;1;266;89;177
0.2;06414000;01.11.2020;Citybahn;3111;3111 Forum;;639;222;0;861;264;1;0;264;77;187
0.2;06414000;01.11.2020;Citybahn;3112;3112 Kellerskopfhalle Naurod;;799;269;0;1068;391;0;2;389;113;276
0.2;06414000;01.11.2020;Citybahn;3121;3121 Forum;;609;225;0;834;286;2;0;286;83;203
0.2;06414000;01.11.2020;Citybahn;3122;3122 Forum;;591;217;0;808;271;2;0;271;85;186
0.2;06414000;01.11.2020;Citybahn;3211;3211 Ehemalige Katholische Kirche;;678;172;0;850;313;0;1;312;130;182
0.2;06414000;01.11.2020;Citybahn;3212;3212 Ortsverwaltung Auringen;;917;287;0;1204;424;4;0;424;143;281
