Stimmbezirk;S_Name;S_URL;Stadtbezirk;Wahlbezirk;W_Name;W_URL
1106;1106 Wilhelmsplatz;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_1106_Wilhelmsplatz.html;Hagen-Mitte;10;10 Wehringhausen/Kuhlerkamp;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_10_WehringhausenKuhlerkamp.html
2111;2111 Brockhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2111_Brockhausen.html;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_11_BoeleHengsteyBrockhausen.html
2112;2112 Niedernhofstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2112_Niedernhofstr.html;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_11_BoeleHengsteyBrockhausen.html
2113;2113 Hilgenland;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2113_Hilgenland.html;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_11_BoeleHengsteyBrockhausen.html
2114;2114 Hagener Str.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2114_Hagener_Str.html;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_11_BoeleHengsteyBrockhausen.html
2115;2115 Boele Kirche;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2115_Boele_Kirche.html;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_11_BoeleHengsteyBrockhausen.html
2116;2116 Allensteiner Str. / Hengstey;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2116_Allensteiner_Str__Hengstey.html;Hagen-Nord;11;11 Boele/Hengstey/Brockhausen;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_11_BoeleHengsteyBrockhausen.html
2121;2121 Fritz-Steinhoff-Schule;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2121_FritzSteinhoffSchule.html;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_12_KabelBatheyGarenfeld.html
2122;2122 Borgenfeldstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2122_Borgenfeldstr.html;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_12_KabelBatheyGarenfeld.html
2123;2123 Knüwenstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2123_Knuewenstr.html;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_12_KabelBatheyGarenfeld.html
2124;2124 Steinhausstr.;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2124_Steinhausstr.html;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_12_KabelBatheyGarenfeld.html
2125;2125 Bathey;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2125_Bathey.html;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_12_KabelBatheyGarenfeld.html
2126;2126 Garenfeld;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Stimmbezirk_2126_Garenfeld.html;Hagen-Nord;12;12 Kabel/Bathey/Garenfeld;http://www.wahlergebnisse.stadt-hagen.de/prod/KW2020/05914000/html5/Ratswahl_NRW_205_Wahlbezirk_12_KabelBatheyGarenfeld.html
