version;wahl-behoerde-gs;wahl-datum;wahl-name;bezirk-nr;bezirk-name;zeitstempel-erfassung;A1;A2;A3;A;B;B2;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;D13
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3171;3171 Im Gersegge;15.09.2025 09:03:13 809;946;384;0;1330;373;2;2;371;96;67;22;97;11;8;47;5;10;1;6;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3172;3172 Wiesenstr.;15.09.2025 09:03:13 809;632;153;0;785;225;0;5;220;36;44;6;75;2;1;27;13;6;1;9;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3173;3173 Im Sibb;15.09.2025 09:03:13 809;819;293;0;1112;382;0;5;377;86;59;32;84;10;8;62;17;3;7;7;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3174;3174 Auf der Heide;15.09.2025 09:03:13 809;697;295;0;992;352;2;7;345;103;38;30;83;9;8;60;4;3;0;6;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3175;3175 Elsey;15.09.2025 09:03:13 809;875;252;0;1127;276;0;1;275;53;47;17;77;7;4;45;4;7;1;11;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3176;3176 Bezirksverwaltungsstelle Hohenlimburg;15.09.2025 09:03:13 809;605;162;0;767;195;1;5;190;32;42;10;40;9;1;32;10;4;1;7;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3181;3181 Oeger Str. / Oege;15.09.2025 09:03:13 809;883;395;0;1278;277;0;5;272;39;39;6;75;3;1;68;14;14;5;6;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3182;3182 Wilhelmstr.;15.09.2025 09:03:13 809;562;272;0;834;231;0;1;230;47;47;17;53;1;1;48;5;0;6;4;1;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3183;3183 Nahmertal;15.09.2025 09:03:13 809;645;260;0;905;248;0;3;245;34;36;14;78;14;2;42;4;5;4;10;2;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3184;3184 Wesselbach;15.09.2025 09:03:13 809;624;318;0;942;253;0;2;251;52;26;24;47;3;1;61;9;11;1;16;0;0
0.3;05914000;14.09.2025;Wahl der Vertretung der Gemeinde (Rat der Stadt Hagen);3185;3185 Wesselbachstr.;15.09.2025 09:03:13 809;681;277;0;958;313;0;2;311;48;50;5;60;11;7;106;12;1;1;10;0;0
